Player Name,Salary,Position,Age,GP,MP,GS,FG,FG%,2PA,2P%,AST,AST%
Franz Wagner,5.25828,SF,21,80,32.6,80,6.8,0.485,9.5,0.544,3.5,17.2
Kendrick Nunn,5.25,SG,27,70,13.8,2,2.7,0.424,3.2,0.493,1.3,13.8
Hamidou Diallo,5.2,SF,24,56,17.8,0,3.8,0.573,6.3,0.593,1,9.2
Cory Joseph,5.1555,PG,31,62,19.8,2,2.4,0.427,2.8,0.468,3.5,25.4
Garrett Temple,5.1555,SG,36,25,6.5,0,0.7,0.4,0.8,0.368,0.5,10.6
Torrey Craig,5.121951,PF,32,79,24.7,60,2.9,0.456,3.1,0.518,1.5,7.9
Jeremy Sochan,5.06352,PF,19,56,26,53,4.5,0.453,7.5,0.519,2.5,13.6
Nickeil Alexander-Walker,5.009633,SG,24,59,15,3,2.2,0.444,2.3,0.515,1.8,16.7
Furkan Korkmaz,5,SG,25,37,9.5,0,1.3,0.432,1.8,0.462,0.6,8.8
Deni Avdija,4.91616,SF,22,76,26.6,40,3.3,0.437,4.6,0.53,2.8,13.9
Davion Mitchell,4.8336,PG,24,80,18.1,9,2.3,0.454,2.5,0.584,2.3,16.5
Johnny Davis,4.81032,SG,20,28,15.1,5,2.4,0.386,3.6,0.485,1,9.2
Ty Jerome,4.728948,SG,25,45,18.1,2,2.6,0.488,3.4,0.546,3,22.1
Jalen Smith,4.67016,C,22,68,18.8,31,3.6,0.476,4.7,0.593,1,7.6
Ziaire Williams,4.59168,SF,21,37,15.2,4,2.3,0.429,2.7,0.596,0.9,8.2
Ousmane Dieng,4.56984,PF,19,39,14.6,1,1.9,0.42,2.1,0.602,1.2,10.7
Jeff Green,4.5,PF,36,56,19.5,4,2.9,0.488,4,0.58,1.2,8.3
Donte DiVincenzo,4.5,SG,26,72,26.3,36,3.3,0.435,2.3,0.525,3.5,17.3
Devin Vassell,4.437,SG,22,38,31,32,6.9,0.439,8.7,0.48,3.6,17.3
Jarred Vanderbilt,4.374,PF,23,78,24.1,65,3.2,0.548,4.6,0.604,2.4,13.1
James Bouknight,4.36224,SG,22,34,15.1,0,2,0.358,2.5,0.429,1.2,11.1
Brandon Clarke,4.343919,PF,26,56,19.5,8,4.1,0.656,6.1,0.665,1.3,9.5
Jalen Williams,4.34148,SG,21,75,30.3,62,5.5,0.521,7.9,0.579,3.3,15.4
Grant Williams,4.306281,PF,24,79,25.9,23,2.7,0.454,2.3,0.546,1.7,8.4
Darius Bazley,4.264628,C,22,43,14.3,1,1.9,0.454,3,0.485,0.9,8.3
Tyrese Haliburton,4.21512,PG,22,56,33.6,56,7.4,0.49,7.8,0.572,10.4,47.6
Nassir Little,4.171548,SF,22,54,18.1,4,2.5,0.442,2.7,0.524,0.9,7.3
Jalen Duren,4.12428,C,19,67,24.9,31,3.9,0.648,5.9,0.652,1.1,6.8
Gorgui Dieng,4.105236,C,33,31,11.5,1,1.5,0.385,1.4,0.571,1.7,19.4
Justise Winslow,4.097561,PF,26,29,26.8,11,2.8,0.409,5.3,0.438,3.4,17.2
Dylan Windler,4.037277,SF,26,3,3.3,0,0.7,0.667,0.3,1,0.3,15.2
Stanley Johnson,4.022164,SF,26,30,15.6,0,2.2,0.533,2.7,0.573,2.2,19
Terence Davis,4,SG,25,64,13.1,5,2.4,0.423,1.9,0.537,1,11.1
Chris Duarte,3.93696,SF,25,46,19.5,12,2.7,0.369,3.5,0.428,1.4,9.7
Alex Len,3.9186,C,29,26,6.2,2,0.6,0.533,1.1,0.571,0.5,9.3
Ochai Agbaji,3.91836,SG,22,59,20.5,22,2.8,0.427,2.7,0.532,1.1,7.5
Jordan Poole,3.901399,PG,23,82,30,43,6.7,0.43,7.8,0.524,4.5,22.5
Keldon Johnson,3.873024,SF,23,63,32.7,63,8,0.452,11.2,0.523,2.9,13.7
James Johnson,3.841067,PF,35,18,9,1,1.2,0.449,1.9,0.559,0.8,12.6
Aaron Nesmith,3.80436,SF,23,73,24.9,60,3.5,0.427,3.8,0.496,1.3,7.4
Moses Moody,3.74016,SG,20,63,13,3,1.7,0.476,1.5,0.641,0.8,8.2
Mark Williams,3.72204,C,21,43,19.3,17,3.7,0.637,5.8,0.637,0.4,3.3
Cole Anthony,3.61368,PG,22,60,25.9,4,4.6,0.454,6.7,0.5,3.9,22.9
Corey Kispert,3.55284,SF,23,74,28.3,45,3.9,0.497,2.7,0.637,1.2,5.7
AJ Griffin,3.53616,SF,19,72,19.5,12,3.4,0.465,3.8,0.536,1,7
Mike Muscala,3.5,C,31,63,15,9,2.1,0.449,1.3,0.588,0.8,7.1
Georges Niang,3.465,PF,29,78,19.4,1,2.8,0.442,1.5,0.576,1,7.3
Isaiah Stewart,3.43332,C,21,50,28.3,47,3.9,0.442,4.7,0.542,1.4,7.3
Chuma Okeke,3.43332,SF,24,27,19.2,8,1.6,0.352,1.3,0.472,1.4,9.4
Amir Coffey,3.395062,SF,25,50,12.5,9,1.1,0.386,2.1,0.429,1.1,11.2
Tari Eason,3.35916,PF,21,82,21.5,5,3.6,0.448,6,0.486,1.1,7.4
Aleksej Pokusevski,3.26148,PF,21,34,20.6,25,3.2,0.434,4.3,0.483,1.9,12.4
Simone Fontecchio,3.205128,SF,27,52,14.7,6,2.2,0.369,2.3,0.43,0.8,7.5
Andre Drummond,3.2,C,29,67,12.7,0,2.5,0.606,4,0.613,0.5,5.7
Dalen Terry,3.1914,SG,20,38,5.6,0,0.8,0.444,1.2,0.556,0.6,14.1
Sterling Brown,3.122602,SF,27,4,6,0,0,0,0.5,0,0.5,9.4
Josh Green,3.0984,SG,22,60,25.7,21,3.4,0.537,3.6,0.643,1.7,9.7
Jake LaRavia,3.04764,PF,21,35,11.8,0,1.1,0.389,0.7,0.542,0.6,6.2
Tre Mann,3.0462,PG,21,67,17.7,5,2.9,0.393,3.6,0.475,1.8,14
Saddiq Bey,2.95908,SF,23,77,27.6,37,4.6,0.422,5.4,0.483,1.5,8.1
Malaki Branham,2.9256,SG,19,66,23.5,32,4.1,0.44,5.4,0.539,1.9,11.4
Joe Wieskamp,2.909261,SF,23,9,5.6,0,0.3,0.214,0.2,0,0.3,7.4
Kai Jones,2.90904,C,22,46,12,0,1.5,0.558,2.2,0.624,0.3,3.7
Blake Griffin,2.905851,C,33,41,13.9,16,1.5,0.485,1.6,0.625,1.5,14.2
Robin Lopez,2.905851,C,34,37,8.1,2,1.3,0.64,1.9,0.648,0.5,9.1
Markieff Morris,2.905851,PF,33,35,10.1,2,1.3,0.409,1.3,0.432,0.9,12.2
Andre Iguodala,2.905851,PF,39,8,14.1,0,0.9,0.467,0.8,1,2.4,20.3
Serge Ibaka,2.905851,C,33,16,11.6,0,1.6,0.481,2.3,0.556,0.3,2.9
Udonis Haslem,2.905851,C,42,7,10.1,1,1.4,0.345,2.9,0.35,0,0
Wesley Matthews,2.905851,SF,36,52,15.8,0,1.1,0.363,0.7,0.528,0.7,5.1
Austin Rivers,2.905851,SG,30,52,19.5,10,1.8,0.435,1.7,0.558,1.4,9.3
Bismack Biyombo,2.905851,C,30,61,14.3,14,2,0.578,3.4,0.578,0.9,8.7
Taj Gibson,2.905851,C,37,49,9.8,2,1.3,0.52,2.1,0.564,0.7,9.6
Precious Achiuwa,2.84016,C,23,55,20.7,12,3.6,0.485,5.4,0.564,0.9,6.3
Christian Braun,2.8086,SG,21,76,15.5,6,1.9,0.495,2.5,0.565,0.8,6.4
Jordan Nwora,2.8,SF,24,62,19.2,14,3.1,0.436,3.8,0.462,1.4,10.5
Jalen Johnson,2.79264,SF,21,70,14.9,6,2.3,0.491,3.1,0.587,1.2,10.4
Tyrese Maxey,2.72688,SG,22,60,33.6,41,7.3,0.481,9.1,0.513,3.5,16.9
Bruno Fernando,2.717391,C,24,39,10.4,4,1.5,0.527,2.8,0.546,0.8,10.8
Walker Kessler,2.6964,C,21,74,23,40,4,0.72,5.6,0.723,0.9,5.7
Keon Johnson,2.68104,SG,20,40,10.4,0,1.7,0.376,2.4,0.402,1.5,20.9
Charles Bassey,2.674742,C,22,35,14.5,2,2.5,0.644,3.6,0.661,1.3,12.9
Matthew Dellavedova,2.628597,PG,32,32,6.7,0,0.5,0.34,0.7,0.348,1.3,23.4
Trey Lyles,2.625,PF,27,74,16.9,0,2.5,0.458,2.3,0.595,0.9,7
Zeke Nnaji,2.6178,PF,22,53,13.7,5,2.1,0.561,2.5,0.71,0.3,3.3
David Roddy,2.58864,PF,21,70,18,4,2.6,0.429,3,0.553,0.8,6.1
Isaiah Jackson,2.57376,C,21,63,16.5,12,2.8,0.563,4.8,0.582,0.8,7
MarJon Beauchamp,2.4852,SF,22,52,13.5,11,1.8,0.395,1.9,0.485,0.7,6.7
Usman Garuba,2.47116,C,20,75,12.9,1,1.1,0.486,1.6,0.525,0.9,8.8
Raul Neto,2.46349,PG,30,48,10.5,1,1.2,0.518,1.4,0.662,1.6,21
Frank Kaminsky,2.46349,C,29,36,6.5,0,0.9,0.492,0.8,0.6,0.9,17.8
Montrezl Harrell,2.46349,C,29,57,11.9,7,2.2,0.598,3.6,0.616,0.6,7.4
Blake Wesley,2.38548,SG,19,37,18.1,1,1.9,0.321,4.4,0.301,2.7,18.8
Josh Christopher,2.37216,SG,21,64,12.3,2,2.4,0.465,3.8,0.55,1.1,14.3
Isaiah Roby,2.330681,PF,24,42,11.3,2,1.6,0.432,2.3,0.516,0.9,10.7
Lindy Waters III,2.316876,SG,25,41,13,0,1.7,0.393,0.4,0.75,0.7,7
Immanuel Quickley,2.31624,SG,23,81,28.9,21,5.2,0.448,6,0.521,3.4,17.4
John Konchar,2.3,SF,26,72,20.8,23,1.9,0.431,2,0.545,1.4,8.2
Rodney McGruder,2.298385,SG,31,32,16.4,12,1.9,0.408,1.7,0.382,0.9,7.6
Bryn Forbes,2.298385,SG,29,25,10.7,0,1.2,0.361,1.5,0.432,0.7,8.2
Damian Jones,2.298385,C,27,41,11.6,1,1.3,0.64,1.7,0.652,0.4,4.1
Quentin Grimes,2.277,SG,22,71,29.9,66,4,0.468,2.7,0.641,2.1,9.7
Saben Lee,2.26664,PG,23,25,14.9,1,2,0.405,3.6,0.418,2.7,24.3
Andrew Nembhard,2.244111,SG,23,75,27.6,63,3.8,0.441,5.1,0.504,4.5,22.4
Payton Pritchard,2.2392,PG,25,48,13.4,3,2.1,0.412,1.9,0.495,1.3,14
Bones Hyland,2.20152,PG,22,56,19.4,1,4.1,0.399,4.6,0.434,3.1,23.4
Bol Bol,2.2,PF,23,70,21.5,33,3.7,0.546,5.2,0.633,1,6.9
Peyton Watson,2.19396,SG,20,23,8.1,2,1.3,0.492,2,0.511,0.5,7.9
Udoka Azubuike,2.17488,C,23,36,10,4,1.6,0.819,2,0.819,0.3,4.3
Jaden McDaniels,2.16144,SF,22,79,30.6,79,4.7,0.517,5.7,0.588,1.9,8.4
Jordan McLaughlin,2.16,PG,26,43,15.8,0,1.4,0.421,1.6,0.552,3.4,27.4
Malachi Flynn,2.14572,PG,24,53,13,2,1.6,0.36,2.1,0.367,1.3,13.7
Cam Thomas,2.13816,SG,21,57,16.6,4,3.5,0.441,5.7,0.464,1.4,12.7
Luke Kornet,2.133278,C,27,69,11.7,0,1.6,0.665,2.3,0.701,0.8,9.1
Damion Lee,2.133278,SG,30,74,20.4,5,2.7,0.442,2.8,0.439,1.3,8.9
Juan Toscano-Anderson,2.133278,SF,29,52,13.5,9,1.2,0.448,1.9,0.56,1.3,11.8
Desmond Bane,2.13024,SG,24,58,31.7,58,7.8,0.479,9.2,0.534,4.4,20.8
Jaden Springer,2.1252,SG,20,16,5.6,2,1.1,0.486,1.9,0.5,0.5,13.8
Day'Ron Sharpe,2.10948,C,21,48,11.5,3,1.9,0.544,3.3,0.544,0.8,9.7
Tony Bradley,2.036318,C,25,12,2.8,0,0.5,0.5,0.6,0.429,0.1,4.4
Frank Ntilikina,2.036318,SG,24,47,12.9,5,1,0.364,1.4,0.477,1.2,12.8
Garrison Mathews,2,SG,26,54,12.7,0,1.4,0.363,0.4,0.476,0.5,5.1
Jaylin Williams,2,C,20,49,18.7,36,2.1,0.436,2.5,0.463,1.6,10.7
Jeremiah Robinson-Earl,2,PF,22,43,18.9,20,2.6,0.444,3.2,0.533,1,7
Kenrich Williams,2,PF,28,53,22.8,10,3.4,0.517,4,0.608,2,11.7
Caleb Houstan,2,SF,20,51,15.9,4,1.3,0.363,0.9,0.435,0.6,4.9
Shake Milton,1.997718,SG,26,76,20.6,11,3.2,0.479,4.7,0.521,3.2,22.3
Aaron Holiday,1.968175,PG,26,63,13.4,6,1.5,0.418,2.1,0.424,1.4,13
Yuta Watanabe,1.968175,SF,28,58,16,1,2,0.491,1.7,0.557,0.8,7
Edmond Sumner,1.968175,SG,27,53,13.9,12,2.3,0.461,3.4,0.511,1.3,13.3
Theo Pinson,1.968175,SG,27,40,8.1,1,0.8,0.356,0.6,0.36,1.2,19.6
Thomas Bryant,1.968175,C,25,59,18.3,26,3.9,0.623,5.3,0.658,0.5,4.3
Josh Okogie,1.968175,SG,24,72,18.8,26,2.3,0.391,3,0.442,1.5,10.3
Drew Eubanks,1.968175,C,25,78,20.3,28,2.7,0.641,4.1,0.655,1.3,9.2
Dean Wade,1.930681,PF,26,44,20.3,13,1.7,0.412,1.1,0.56,0.8,5.4
Terance Mann,1.930681,SG,26,81,23.1,36,3.4,0.519,4,0.598,2.3,14
Jaylen Nowell,1.930681,SG,23,65,19.3,2,4.3,0.448,6,0.542,2,15.9
Naz Reid,1.930681,C,23,68,18.4,11,4.6,0.537,5.3,0.653,1.1,9.6
Jalen McDaniels,1.930681,SF,25,80,23.9,24,3.5,0.455,4.8,0.53,1.6,9.6
Daniel Gafford,1.930681,C,24,78,20.6,47,3.7,0.732,5.1,0.732,1.1,7.5
Chimezie Metu,1.91086,PF,25,66,10.4,0,2,0.589,2.7,0.663,0.6,8.1
Davon Reed,1.902133,SG,27,43,8,1,0.7,0.333,0.9,0.289,0.5,8.2
KZ Okpala,1.902133,PF,23,35,7.1,3,0.5,0.421,0.5,0.529,0.4,6.3
Wenyen Gabriel,1.87872,C,25,68,15.1,2,2.3,0.596,3.3,0.647,0.5,4.8
Thanasis Antetokounmpo,1.87872,PF,30,37,5.6,0,0.5,0.435,1,0.526,0.4,9.3
Moritz Wagner,1.87872,C,25,57,19.5,18,3.5,0.5,4.1,0.631,1.5,11.5
Keita Bates-Diop,1.87872,PF,27,67,21.7,42,3.5,0.508,4.8,0.557,1.5,9.8
Oshae Brissett,1.846738,PF,24,65,16.7,2,1.9,0.386,2.5,0.457,0.7,5.4
Nathan Knight,1.83609,C,25,38,7.7,0,1.2,0.568,1.6,0.644,0.3,6.1
Justin Jackson,1.83609,SF,27,23,4.7,0,0.3,0.259,0.3,0.286,0.4,10.5
Isaiah Joe,1.83609,SG,23,73,19.1,10,3.1,0.441,1.6,0.553,1.2,8.7
Ryan Arcidiacono,1.83609,PG,28,20,8.6,4,0.5,0.243,0.7,0.071,1.2,16.9
Anthony Gill,1.83609,PF,30,59,10.6,8,1.2,0.538,1.7,0.65,0.6,7.2
Javonte Green,1.815677,SF,29,32,15,1,1.9,0.565,2.3,0.658,0.7,6.4
Gabe Vincent,1.815677,PG,26,68,25.9,34,3.4,0.402,3.2,0.512,2.5,13.9
Max Strus,1.815677,SF,26,80,28.4,33,4.1,0.41,2.8,0.559,2.1,11.2
Nick Richards,1.782621,C,25,65,18.7,9,3,0.629,4.8,0.628,0.6,4.5
Lamar Stevens,1.782621,SF,25,62,18.1,25,2.1,0.448,3.1,0.513,0.5,4
Naji Marshall,1.782621,SF,25,77,23.3,21,3.2,0.433,4.6,0.513,2.5,14.4
Paul Reed,1.782621,C,23,69,10.9,2,1.8,0.593,2.9,0.606,0.4,5.3
Tre Jones,1.782621,PG,23,68,29.2,65,5,0.459,8.6,0.506,6.6,31.5
Haywood Highsmith,1.752638,PF,26,54,17.9,11,1.7,0.431,2,0.523,0.8,6.2
Omer Yurtseven,1.752638,C,24,9,9.2,0,1.8,0.593,2.2,0.65,0.2,3.9
Leandro Bolmaro,1.7093,SF,22,14,4.9,0,0.2,0.15,1.1,0.188,0.5,12.3
Terry Taylor,1.703902,PF,23,31,8.5,2,1.3,0.52,1.8,0.607,0.3,5.1
Jared Butler,1.674655,PG,22,6,12.8,1,2.5,0.469,3,0.444,1.3,15
Jericho Sims,1.639842,C,24,52,15.6,16,1.6,0.776,2,0.783,0.5,4
Sam Hauser,1.637966,SF,25,80,16.1,8,2.3,0.455,0.8,0.656,0.9,7.6
Kessler Edwards,1.637966,SF,22,36,10.7,4,1,0.387,1.1,0.5,0.6,7.5
Isaiah Todd,1.575,PF,21,6,10.2,1,0.5,0.158,1.5,0.222,0.7,7.9
Vit Krejci,1.563518,PG,22,29,5.7,0,0.5,0.405,0.6,0.625,0.6,12.4
JT Thor,1.563518,PF,20,69,14,8,1.4,0.399,1.7,0.487,0.5,4.9
Marko Simonovic,1.563518,C,23,7,2.9,0,0.3,0.286,0.4,0.333,0,0
Ayo Dosunmu,1.563518,SG,23,80,26.2,51,3.5,0.493,4.8,0.583,2.6,13.2
Isaiah Livers,1.563518,PF,24,52,23.1,22,2.3,0.417,1.6,0.541,0.8,4.8
Daishen Nix,1.563518,PG,20,57,16,7,1.4,0.342,1.7,0.423,2.3,19.2
Jason Preston,1.563518,PG,23,14,8.9,0,1.3,0.439,1.6,0.565,1.9,30.9
Austin Reaves,1.563518,SG,24,64,28.8,22,4,0.529,4.3,0.631,3.4,15.7
Jose Alvarado,1.563518,PG,24,61,21.5,10,3.3,0.411,4,0.488,3,19.9
Miles McBride,1.563518,PG,22,64,11.9,2,1.2,0.358,1.3,0.457,1.1,12.4
Aaron Wiggins,1.563518,SG,24,70,18.5,14,2.7,0.512,3.4,0.573,1.1,8.3
Jock Landale,1.563518,C,27,69,14.2,4,2.6,0.528,3.7,0.621,1,10.1
Trendon Watford,1.563518,PF,22,62,19.1,12,2.9,0.56,4.2,0.602,2.1,16
Dalano Banton,1.563518,PG,23,31,9,2,1.8,0.423,2.5,0.506,1.2,19.3
Christian Koloko,1.5,C,22,58,13.8,19,1.2,0.48,2.4,0.514,0.5,5
