Player Name,Salary,Position,Age,GP,MP,GS,FG,FG%,2PA,2P%,AST,AST%
Mac McClung,0.160856,SG,24,2,20.5,0,4.5,0.45,4.5,0.556,4.5,35.3
Xavier Cooks,0.140384,PF,27,10,12.6,1,1.7,0.607,2.7,0.63,0.6,6.4
Shaquille Harrison,0.134862,SG,29,5,24,0,3,0.417,5.2,0.462,6,34.9
Lester Quinones,0.129405,SG,22,4,4.5,0,0.5,0.4,0.3,0,0.5,14.2
Xavier Moon,0.116986,SG,28,4,5,0,0.8,0.333,1.5,0.333,1.3,35.7
Jamaree Bouyea,0.116986,PG,23,5,14.2,0,1.2,0.429,1.6,0.5,0.8,7.8
Jay Huff,0.116986,C,24,7,13.6,0,2.1,0.6,1.9,0.692,1.4,14.7
Skylar Mays,0.116574,PG,25,6,31.5,6,5.7,0.5,7,0.524,8.3,40
Frank Jackson,0.113114,PG,24,1,5,0,0,0,2,0,1,22.7
Deonte Burton,0.105522,PF,29,2,3,0,0,0,0.5,0,0,0
Jarrell Brantley,0.105522,PF,26,4,9.8,0,2,0.571,1.3,0.8,0.8,11.4
Xavier Sneed,0.10291,SF,25,4,12,0,1.3,0.5,1,0.5,1.3,13.9
Lindell Wigginton,0.099438,PG,24,7,12.4,1,2.6,0.486,2.7,0.632,2,23.8
Jordan Schakel,0.096514,SF,24,2,3,0,0.5,0.5,0.5,0,0.5,23.5
Jeenathan Williams,0.052644,SG,23,5,25.4,4,4.8,0.615,6.2,0.677,2,12.1
Jay Scrubb,0.049719,SG,22,2,15,0,2.5,0.714,2.5,0.6,0.5,5
Justin Minaya,0.035096,SF,23,4,22.3,0,1.8,0.304,2.8,0.364,1,5.9
Kobi Simmons,0.032795,SG,25,5,5.6,0,0.2,0.167,0.2,0,1,21.8
Gabe York,0.032171,SG,29,3,18.7,0,2.7,0.381,1,0.667,1.7,12.3
RaiQuan Gray,0.005849,PF,23,1,35,0,6,0.5,7,0.571,7,29
